2018-6-23,Nick!Muldrotha,"Tim!Phoebe, Nick!Muldrotha, Blaine!Sir Guinelot, Alex!Will/Rowan",Muldrotha won despite Phoebe Worst Fears-ing and taking out boardstate; remind Nick of this every time he complains,4,Nick!Muldrotha#MWIN|Tim!Phoebe#MPLAY|Nick!Muldrotha#MPLAY|Blaine!Sir Guinelot#MPLAY|Alex!Will/Rowan#MPLAY
2018-7-17,Tim!KozilekBT,"Tim!KozilekBT, Stephen!Karador, Nick!Marath, Blaine!Ur-Dragon, Alex!Alesha","Star game, Kozilek abused Oracle's Vault, copied Ulamog trigger twice against Ur-Dragon and Oblivion Sower'd the lands",5,Tim!KozilekBT#MWIN|Tim!KozilekBT#MPLAY|Stephen!Karador#MPLAY|Nick!Marath#MPLAY|Blaine!Ur-Dragon#MPLAY|Alex!Alesha#MPLAY
2018-7-17,Tim!Zedruu,"Blaine!Ur-Dragon, Alex!Alesha, Tim!Zedruu, Nick!Muldrotha","Alesha conceded to Muldrotha's BG Garruk ult, Muldrotha died to Ur-Dragon, Zedruu proxy-suicided Ur-Dragon",4,Tim!Zedruu#MWIN|Blaine!Ur-Dragon#MPLAY|Alex!Alesha#MPLAY|Tim!Zedruu#MPLAY|Nick!Muldrotha#MPLAY
2018-7-20,Tim!KozilekBT,"Nick!NivMizzetF, Tim!KozilekBT","NM almost wheel-comboed, but was stopped by a Spine of Ish Sah coming out of a Pyxis of Pandemonium, then died",2,Tim!KozilekBT#DWIN|Nick!NivMizzetF#DPLAY|Tim!KozilekBT#DPLAY
2018-7-20,Nick!NivMizzetF,"Nick!NivMizzetF, Tim!KozilekBT",NM Entered the Infinite and swung for lethal with Diviner's Wand creature,2,Nick!NivMizzetF#DWIN|Nick!NivMizzetF#DPLAY|Tim!KozilekBT#DPLAY
2018-7-20,Tim!KozilekBT,"Tim!KozilekBT, Nick!NivMizzetF","Kozilek flipped Azor's Gateway on turn 5 with Voltainc Key, NM conceded",2,Tim!KozilekBT#DWIN|Tim!KozilekBT#DPLAY|Nick!NivMizzetF#DPLAY
2018-7-21,Nick!NivMizzetF,"Tim!Ur-Dragon, Nick!NivMizzetF","NM had too much ping power, Ur-Dragon couldn't keep a board",2,Nick!NivMizzetF#DWIN|Tim!Ur-Dragon#DPLAY|Nick!NivMizzetF#DPLAY
2018-7-21,Nick!Marath,"Tim!KozilekBT, Nick!Marath",Marath ramped too hard and Kozilek's Chaos Wand into Primal Surge couldn't make up for it,2,Nick!Marath#DWIN|Tim!KozilekBT#DPLAY|Nick!Marath#DPLAY
2018-7-23,Nick!NivMizzetF,"Tim!Ur-Dragon, Nick!NivMizzetF",Ur-Dragon drew no creatures and died to Great Distortion beats,2,Nick!NivMizzetF#DWIN|Tim!Ur-Dragon#DPLAY|Nick!NivMizzetF#DPLAY
2018-7-23,Tim!Ur-Dragon,"Tim!Ur-Dragon, Nick!NivMizzetF",Ur-Dragon rushed with hasty dragons,2,Tim!Ur-Dragon#DWIN|Tim!Ur-Dragon#DPLAY|Nick!NivMizzetF#DPLAY
